claim_id,state,district,latitude,longitude,claimed_area,recorded_area,submission_date,verification_date,approval_date,status,days_pending,claim_type,anomaly_flag,anomaly_type,severity
FRA-00648,Maharashtra,Nashik,18.203689,73.062994,9.64,10.26,2024-05-01,,,Rejected,0,Community Forest Resource,False,None,None
FRA-00649,Kerala,Idukki,9.611052,75.999201,7.94,8.48,2025-10-21,2026-03-04,,Under Verification,318,Individual Forest Right,False,None,None
FRA-00650,Maharashtra,Gadchiroli,19.688018,75.526801,1.42,1.59,2024-05-04,2024-06-12,,Under Verification,853,Community Forest Resource,False,None,None
FRA-00651,Odisha,Sundargarh,21.290058,83.093631,4.68,4.25,2023-12-06,2024-02-18,2024-03-22,Approved,0,Community Forest Resource,False,None,None
FRA-00652,Odisha,Sundargarh,19.024634,84.320273,10.82,12.31,2025-10-10,,,Pending,329,Community Forest Right,False,None,None
FRA-00653,Chhattisgarh,Kanker,19.412286,82.247763,10.17,9.04,2025-07-11,2023-04-26,2023-05-13,Under Verification,420,Individual Forest Right,True,Delayed Processing,High
FRA-00654,Maharashtra,Gadchiroli,21.997045,75.870294,4.28,2.32,2022-12-24,,,Rejected,0,Community Forest Resource,True,Land Record Mismatch,Medium
FRA-00655,Chhattisgarh,Bastar,20.809907,81.459096,14.91,16.18,2022-04-06,,,Rejected,0,Individual Forest Right,False,None,None
FRA-00656,Kerala,Wayanad,11.619215,77.31658,6.85,6.76,2022-08-16,2023-01-29,,Under Verification,1480,Individual Forest Right,False,None,None
FRA-00657,Maharashtra,Gadchiroli,20.029223,74.33637,2.21,2.01,2025-10-02,2024-02-27,2024-04-28,Pending,337,Community Forest Resource,True,Delayed Processing,High
FRA-00658,Odisha,Keonjhar,21.776643,83.553426,3.43,3.91,2022-01-14,2022-05-07,2022-07-11,Approved,0,Community Forest Resource,False,None,None
FRA-00659,Chhattisgarh,Bastar,19.330078,82.145599,6.52,6.77,2023-05-18,2023-09-01,2023-11-12,Approved,0,Individual Forest Right,False,None,None
FRA-00660,Chhattisgarh,Dantewada,20.067047,81.227928,7.15,7.91,2025-10-29,2025-11-11,2026-01-11,Approved,0,Individual Forest Right,False,None,None
FRA-00661,Kerala,Wayanad,9.754335,75.787011,14.74,22.96,2022-05-06,2022-05-20,2022-08-17,Approved,0,Community Forest Right,True,Land Record Mismatch,Medium
FRA-00662,Jharkhand,Simdega,23.803878,85.097933,5.49,6.03,2024-12-16,,,Pending,627,Community Forest Right,False,None,None
FRA-00663,Jharkhand,Gumla,24.218949,86.185259,9.46,9.3,2023-12-09,2024-06-02,,Under Verification,1000,Individual Forest Right,False,None,None
FRA-00664,Odisha,Koraput,18.647881,84.505218,11.01,11.8,2022-09-16,,,Pending,1449,Individual Forest Right,False,None,None
FRA-00665,Madhya Pradesh,Mandla,23.30334,80.028185,2.82,2.42,2025-01-10,,,Pending,602,Community Forest Right,False,None,None
FRA-00666,Kerala,Kannur,12.460864,75.276105,1.37,1.32,2025-07-08,,,Pending,423,Community Forest Resource,False,None,None
FRA-00667,Madhya Pradesh,Dindori,22.744903,79.947435,7.07,2.86,2025-04-06,,,Pending,516,Community Forest Resource,True,Land Record Mismatch,Medium
FRA-00668,Jharkhand,Gumla,22.263067,85.807581,3.29,3.56,2026-01-04,2024-10-28,2024-12-26,Pending,243,Community Forest Right,True,Delayed Processing,Medium
FRA-00669,Chhattisgarh,Dantewada,19.073922,80.234218,10.31,10.01,2025-02-18,,,Pending,563,Community Forest Right,False,None,None
FRA-00670,Maharashtra,Nashik,20.545845,80.972094,10.49,11.9,2024-05-03,,,Rejected,0,Individual Forest Right,False,None,None
FRA-00671,Jharkhand,West Singhbhum,22.323463,86.465836,13.02,11.53,2023-03-12,,,Pending,1272,Individual Forest Right,False,None,None
FRA-00672,Maharashtra,Chandrapur,21.686789,73.950128,12.86,11.36,2024-01-27,,,Pending,951,Individual Forest Right,False,None,None
FRA-00673,Madhya Pradesh,Mandla,22.762311,78.497839,4.76,4.09,2022-10-20,2023-01-13,2023-03-12,Approved,0,Community Forest Right,False,None,None
FRA-00674,Odisha,Mayurbhanj,19.232309,86.328471,0.53,0.54,2022-05-19,2022-09-12,,Under Verification,1569,Community Forest Right,False,None,None
FRA-00675,Maharashtra,Nashik,21.601149,79.250795,7.39,7.88,2025-05-25,2025-06-21,2025-08-29,Approved,0,Community Forest Right,False,None,None
FRA-00676,Kerala,Kannur,9.946948,76.81966,1.8,1.87,2025-07-01,2025-08-09,2025-10-03,Approved,0,Individual Forest Right,False,None,None
FRA-00677,Kerala,Kannur,11.707738,76.614791,13.06,13.87,2025-12-11,,,Pending,267,Individual Forest Right,True,Delayed Processing,High
FRA-00678,Maharashtra,Gadchiroli,21.829171,77.17403,85.07,78.57,2022-02-08,2022-04-27,2022-05-25,Approved,0,Community Forest Resource,True,Unusual Claim Area,High
FRA-00679,Maharashtra,Nashik,18.338592,77.268351,5.15,5.29,2024-10-03,2024-10-18,,Under Verification,701,Individual Forest Right,False,None,None
FRA-00680,Jharkhand,Ranchi,24.149121,85.110839,4.23,3.74,2022-07-23,,,Pending,1504,Individual Forest Right,False,None,None
FRA-00681,Odisha,Koraput,19.116909,87.284741,10.34,8.97,2023-10-29,2024-02-07,2024-02-19,Approved,0,Individual Forest Right,False,None,None
FRA-00682,Odisha,Mayurbhanj,20.151291,84.45898,5.94,6.52,2022-09-05,2022-10-15,2023-01-04,Approved,0,Community Forest Right,False,None,None
FRA-00683,Maharashtra,Nashik,21.797428,75.1543,5.12,5.2,2022-05-15,,,Pending,1573,Individual Forest Right,False,None,None
FRA-00684,Madhya Pradesh,Mandla,23.385188,79.344691,1.97,2.13,2025-08-27,,,Rejected,0,Community Forest Right,False,None,None
FRA-00685,Jharkhand,Ranchi,24.115695,85.751513,11.85,10.58,2025-01-11,2025-03-24,,Under Verification,601,Community Forest Right,False,None,None
FRA-00686,Maharashtra,Nashik,18.167168,79.50115,14.44,14.96,2025-08-30,2025-09-09,,Under Verification,370,Community Forest Right,False,None,None
FRA-00687,Odisha,Keonjhar,21.857951,84.710691,5.6,5.82,2025-04-13,,,Rejected,0,Individual Forest Right,False,None,None
FRA-00688,Kerala,Wayanad,10.401915,75.988262,2.28,2.03,2025-02-13,2025-06-13,,Under Verification,568,Community Forest Resource,False,None,None
FRA-00689,Odisha,Keonjhar,21.04068,87.408382,10.76,10.03,2025-09-18,2025-12-24,,Under Verification,351,Community Forest Resource,False,None,None
FRA-00690,Odisha,Koraput,22.156073,83.601766,13.87,14.32,2022-01-09,2022-03-04,,Under Verification,1699,Community Forest Resource,False,None,None
FRA-00691,Kerala,Kannur,11.787396,76.345329,11.92,22.09,2022-06-08,,,Pending,1549,Community Forest Resource,True,Land Record Mismatch,High
FRA-00692,Odisha,Sundargarh,19.208747,86.455846,10.61,9.05,2024-08-05,2024-09-08,2024-11-08,Approved,0,Community Forest Resource,False,None,None
FRA-00693,Madhya Pradesh,Mandla,23.701386,79.836791,3.28,3.59,2025-07-04,2025-10-13,2025-11-15,Approved,0,Community Forest Right,False,None,None
FRA-00694,Odisha,Koraput,19.623025,87.070284,10.75,9.81,2023-02-06,2023-07-29,,Under Verification,1306,Community Forest Right,False,None,None
FRA-00695,Maharashtra,Nashik,18.681908,74.550162,11.21,11.79,2025-05-19,,,Pending,473,Individual Forest Right,False,None,None
FRA-00696,Kerala,Wayanad,9.882293,77.333909,77.65,86.57,2023-07-16,2023-10-20,2023-10-27,Approved,0,Individual Forest Right,True,Unusual Claim Area,High
FRA-00697,Jharkhand,Ranchi,24.13465,85.130497,12.74,12.38,2022-09-07,,,Pending,1458,Community Forest Right,False,None,None
FRA-00698,Maharashtra,Gadchiroli,21.53521,74.796386,4.53,4.42,2024-07-08,2024-09-06,2024-10-05,Approved,0,Community Forest Resource,False,None,None
FRA-00699,Madhya Pradesh,Balaghat,24.445239,78.695281,1.58,1.46,2022-12-03,2022-12-21,2023-03-16,Approved,0,Individual Forest Right,False,None,None
FRA-00700,Jharkhand,West Singhbhum,24.020148,86.073858,87.51,88.03,2023-05-28,2023-08-06,2023-09-10,Approved,0,Individual Forest Right,True,Unusual Claim Area,Medium
FRA-00701,Madhya Pradesh,Dindori,23.910246,79.501395,8.89,7.78,2022-05-05,2022-08-19,,Under Verification,1583,Community Forest Resource,False,None,None
FRA-00702,Madhya Pradesh,Balaghat,22.155006,80.209548,1.29,1.33,2024-06-03,2024-09-07,2024-09-19,Approved,0,Community Forest Right,False,None,None
FRA-00703,Jharkhand,West Singhbhum,22.239576,86.631872,3.88,4.0,2025-09-13,,,Pending,356,Community Forest Right,False,None,None
FRA-00704,Jharkhand,Ranchi,22.849041,87.281547,11.85,11.69,2023-11-04,,,Pending,1035,Individual Forest Right,False,None,None
FRA-00705,Maharashtra,Gadchiroli,20.371546,79.726236,13.61,12.08,2024-11-08,2025-01-10,2025-03-17,Approved,0,Community Forest Right,False,None,None
FRA-00706,Chhattisgarh,Kanker,18.688364,80.132212,2.35,2.41,2024-11-16,2025-02-25,,Under Verification,657,Community Forest Resource,False,None,None
FRA-00707,Chhattisgarh,Kanker,20.347619,81.809988,4.72,5.39,2024-11-26,,,Pending,647,Individual Forest Right,False,None,None
FRA-00708,Chhattisgarh,Bastar,20.110306,80.586221,3.41,3.83,2022-05-21,2022-08-24,2022-10-28,Approved,0,Community Forest Right,False,None,None
FRA-00709,Maharashtra,Chandrapur,21.408035,77.528775,5.37,5.05,2023-11-05,2024-01-12,2024-01-22,Approved,0,Individual Forest Right,False,None,None
FRA-00710,Kerala,Palakkad,11.579662,76.166342,3.59,3.57,2023-11-10,,,Rejected,0,Community Forest Right,False,None,None
FRA-00711,Chhattisgarh,Bastar,19.814086,80.221193,0.94,0.29,2023-08-19,2023-11-17,2024-02-04,Approved,0,Community Forest Right,True,Land Record Mismatch,High
FRA-00712,Chhattisgarh,Kanker,22.426911,82.15651,5.43,2.98,2023-01-01,2023-02-02,2023-03-12,Approved,0,Community Forest Right,True,Land Record Mismatch,Medium
FRA-00713,Chhattisgarh,Surguja,20.281018,81.108922,5.9,1.98,2024-12-15,2025-06-02,,Under Verification,628,Individual Forest Right,True,Land Record Mismatch,Medium
FRA-00714,Chhattisgarh,Dantewada,21.471769,80.953855,6.73,7.0,2022-04-05,,,Rejected,0,Community Forest Resource,False,None,None
FRA-00715,Odisha,Mayurbhanj,19.810722,83.239665,12.04,13.39,2024-11-06,2025-03-21,,Under Verification,667,Individual Forest Right,False,None,None
FRA-00716,Jharkhand,Ranchi,22.418584,85.358405,13.3,14.3,2024-02-06,,,Pending,941,Community Forest Right,False,None,None
FRA-00717,Kerala,Idukki,11.076427,76.208243,14.36,14.25,2025-04-05,2025-07-25,2025-10-12,Approved,0,Individual Forest Right,False,None,None
FRA-00718,Chhattisgarh,Kanker,20.2604,80.703154,3.67,1.38,2024-02-12,,,Pending,935,Community Forest Right,True,Land Record Mismatch,High
FRA-00719,Jharkhand,Simdega,22.575444,84.144,7.93,7.54,2024-07-12,,,Pending,784,Community Forest Right,False,None,None
FRA-00720,Odisha,Keonjhar,20.029484,83.808046,3.89,4.06,2025-07-18,2024-03-31,,Under Verification,413,Individual Forest Right,True,Delayed Processing,Medium
FRA-00721,Madhya Pradesh,Bhopal,22.900592,79.184104,5.34,5.62,2023-05-28,2023-09-19,2023-10-29,Approved,0,Community Forest Resource,False,None,None
FRA-00722,Chhattisgarh,Surguja,18.042669,80.898422,12.42,13.47,2025-10-07,2024-09-12,,Under Verification,332,Community Forest Right,True,Delayed Processing,Medium
FRA-00723,Chhattisgarh,Kanker,21.616679,80.629625,3.89,3.99,2025-02-05,,,Rejected,0,Community Forest Right,False,None,None
FRA-00724,Odisha,Koraput,19.752299,83.845309,11.67,12.36,2023-03-06,2023-07-03,2023-09-17,Approved,0,Individual Forest Right,False,None,None
FRA-00725,Maharashtra,Nandurbar,19.222288,78.90244,7.75,8.12,2023-12-28,2024-02-29,2024-04-28,Approved,0,Community Forest Right,False,None,None
FRA-00726,Kerala,Idukki,10.478239,75.0581,11.89,13.4,2022-11-11,2023-02-13,,Under Verification,1393,Community Forest Resource,False,None,None
FRA-00727,Maharashtra,Nashik,21.920688,74.633637,6.16,6.22,2023-01-21,,,Pending,1322,Community Forest Right,False,None,None
FRA-00728,Kerala,Idukki,9.779725,75.260783,8.52,7.32,2025-11-12,,,Pending,296,Individual Forest Right,False,None,None
FRA-00729,Madhya Pradesh,Dindori,22.709544,77.932158,10.06,8.76,2022-04-28,2022-05-09,2022-06-04,Approved,0,Community Forest Right,False,None,None
FRA-00730,Jharkhand,Gumla,24.473988,84.451982,6.57,7.05,2024-03-07,2024-05-08,,Under Verification,911,Individual Forest Right,False,None,None
FRA-00731,Odisha,Sundargarh,21.771584,85.991567,2.8,2.86,2023-09-28,,,Pending,1072,Community Forest Resource,False,None,None
FRA-00732,Jharkhand,Simdega,22.504257,87.468798,6.96,7.64,2025-05-23,,,Rejected,0,Community Forest Resource,False,None,None
FRA-00733,Jharkhand,West Singhbhum,23.156739,84.136797,1.82,1.9,2024-07-23,2024-11-17,2024-12-30,Approved,0,Individual Forest Right,False,None,None
FRA-00734,Jharkhand,Gumla,22.448945,86.162078,6.77,6.54,2025-09-11,2025-12-02,2025-12-19,Approved,0,Individual Forest Right,False,None,None
FRA-00735,Chhattisgarh,Kanker,19.368881,81.88425,4.73,2.0,2025-11-30,,,Rejected,0,Community Forest Right,True,Land Record Mismatch,High
FRA-00736,Madhya Pradesh,Bhopal,23.260987,80.118043,6.45,5.8,2023-03-01,,,Pending,1283,Individual Forest Right,False,None,None
FRA-00737,Kerala,Kannur,10.643467,76.864894,12.91,12.51,2022-01-22,2022-05-02,2022-05-24,Approved,0,Community Forest Resource,False,None,None
FRA-00738,Jharkhand,West Singhbhum,23.153392,84.28892,10.03,10.67,2025-11-26,2024-10-08,2024-11-17,Pending,282,Individual Forest Right,True,Delayed Processing,Medium
FRA-00739,Odisha,Koraput,20.638615,84.758823,1.62,1.75,2025-10-19,2025-12-24,2026-02-12,Approved,0,Community Forest Resource,False,None,None
FRA-00740,Madhya Pradesh,Balaghat,23.105145,77.191024,9.7,4.92,2025-09-18,,,Rejected,0,Individual Forest Right,True,Land Record Mismatch,High
FRA-00741,Jharkhand,Gumla,24.322051,85.311256,3.96,3.47,2025-11-30,2024-05-24,2024-07-11,Pending,278,Community Forest Resource,True,Delayed Processing,Medium
FRA-00742,Chhattisgarh,Kanker,18.220063,81.5375,12.33,11.67,2025-07-07,2025-08-12,2025-10-25,Approved,0,Community Forest Right,False,None,None
FRA-00743,Madhya Pradesh,Balaghat,22.53445,78.426305,3.02,2.93,2023-10-10,2023-11-16,2024-01-18,Approved,0,Community Forest Resource,False,None,None
FRA-00744,Odisha,Keonjhar,18.675756,86.98457,6.46,6.98,2024-10-20,2024-11-25,,Under Verification,684,Community Forest Resource,False,None,None
FRA-00745,Chhattisgarh,Surguja,22.795174,81.799601,14.73,15.6,2025-10-20,2025-12-03,,Under Verification,319,Community Forest Resource,False,None,None
FRA-00746,Kerala,Idukki,12.434065,76.665926,1.48,1.27,2025-04-13,2025-06-27,2025-09-21,Approved,0,Community Forest Resource,False,None,None
FRA-00747,Maharashtra,Gadchiroli,18.930424,77.930789,13.5,12.73,2024-05-27,,,Rejected,0,Individual Forest Right,False,None,None
FRA-00748,Chhattisgarh,Surguja,20.493632,80.606035,81.75,77.55,2023-05-03,2023-10-13,,Under Verification,1220,Community Forest Right,True,Unusual Claim Area,High
FRA-00749,Odisha,Koraput,20.583491,87.399054,9.9,9.27,2022-02-18,2022-06-01,2022-07-18,Approved,0,Individual Forest Right,False,None,None
FRA-00750,Maharashtra,Gadchiroli,21.626528,78.320048,4.1,4.33,2023-04-01,,,Pending,1252,Community Forest Right,False,None,None
FRA-00751,Chhattisgarh,Dantewada,21.148913,80.193851,7.63,8.67,2022-04-17,,,Pending,1601,Individual Forest Right,False,None,None
FRA-00752,Chhattisgarh,Bastar,18.868379,81.646541,12.03,10.96,2024-11-05,2025-02-15,2025-04-20,Approved,0,Community Forest Resource,False,None,None
FRA-00753,Chhattisgarh,Kanker,20.120084,81.817554,4.89,5.0,2025-07-25,2025-11-22,2026-01-27,Approved,0,Community Forest Right,False,None,None
FRA-00754,Jharkhand,West Singhbhum,22.419415,85.544816,7.83,8.38,2024-12-26,,,Under Verification,617,Individual Forest Right,True,Delayed Processing,Medium
FRA-00755,Odisha,Mayurbhanj,20.711409,83.790647,6.02,5.67,2023-08-04,2023-10-30,2024-01-04,Approved,0,Individual Forest Right,False,None,None
FRA-00756,Kerala,Kannur,10.087147,77.29033,0.56,1.05,2024-02-06,,,Pending,941,Community Forest Right,True,Land Record Mismatch,High
FRA-00757,Kerala,Wayanad,10.726363,75.097067,65.67,65.45,2025-03-04,2025-06-19,2025-08-18,Approved,0,Community Forest Resource,True,Unusual Claim Area,High
FRA-00758,Odisha,Koraput,21.103625,87.169334,11.17,10.31,2022-03-12,2022-06-22,,Under Verification,1637,Community Forest Resource,False,None,None
FRA-00759,Madhya Pradesh,Balaghat,22.653327,78.821883,10.38,9.61,2025-05-18,,,Pending,474,Individual Forest Right,False,None,None
FRA-00760,Madhya Pradesh,Bhopal,23.92743,79.57759,13.79,13.37,2025-04-15,2025-05-15,,Under Verification,507,Individual Forest Right,False,None,None
FRA-00761,Jharkhand,Gumla,24.074374,84.885049,4.88,5.56,2025-09-10,2026-02-17,,Under Verification,359,Community Forest Right,False,None,None
FRA-00762,Kerala,Wayanad,9.827822,76.431529,12.06,6.15,2023-07-05,,,Rejected,0,Community Forest Right,True,Land Record Mismatch,High
FRA-00763,Madhya Pradesh,Bhopal,22.174604,79.785267,8.11,8.49,2024-06-01,2024-07-28,2024-08-25,Approved,0,Individual Forest Right,False,None,None
FRA-00764,Jharkhand,Gumla,23.256534,84.385834,8.72,7.97,2023-02-16,2023-03-21,2023-04-19,Approved,0,Community Forest Right,False,None,None
FRA-00765,Jharkhand,Ranchi,24.170905,84.581441,4.75,4.58,2023-07-21,2023-08-03,2023-10-21,Approved,0,Community Forest Right,False,None,None
FRA-00766,Kerala,Wayanad,9.52852,75.665202,14.35,15.06,2022-03-27,2022-06-11,2022-06-16,Approved,0,Community Forest Resource,False,None,None
FRA-00767,Odisha,Sundargarh,20.392927,84.516635,6.73,10.48,2023-12-04,2024-02-13,,Under Verification,1005,Community Forest Right,True,Land Record Mismatch,High
FRA-00768,Madhya Pradesh,Bhopal,23.142298,79.793233,11.02,12.3,2022-10-12,2022-11-06,2023-01-17,Approved,0,Community Forest Resource,False,None,None
FRA-00769,Chhattisgarh,Surguja,20.25959,82.058555,13.11,13.17,2025-09-14,2025-12-14,2026-01-29,Approved,0,Community Forest Right,False,None,None
FRA-00770,Madhya Pradesh,Mandla,23.694824,77.934235,7.53,3.92,2022-06-16,2022-08-25,2022-11-22,Approved,0,Community Forest Resource,True,Land Record Mismatch,Medium
FRA-00771,Chhattisgarh,Bastar,18.639307,82.390462,4.87,5.12,2025-01-28,2025-06-06,,Under Verification,584,Community Forest Right,False,None,None
FRA-00772,Madhya Pradesh,Dindori,23.656605,77.963606,3.57,3.84,2025-09-13,,,Pending,356,Community Forest Resource,False,None,None
FRA-00773,Madhya Pradesh,Balaghat,24.322509,78.306003,76.58,86.29,2023-06-12,,,Pending,1180,Community Forest Resource,True,Unusual Claim Area,Medium
FRA-00774,Kerala,Kannur,9.771325,76.729461,13.14,30.03,2025-05-15,2025-07-07,2025-08-29,Approved,0,Individual Forest Right,True,Land Record Mismatch,High
FRA-00775,Chhattisgarh,Surguja,18.57845,80.263041,1.79,1.92,2023-01-21,,,Rejected,0,Community Forest Right,False,None,None
FRA-00776,Chhattisgarh,Surguja,22.770343,81.730751,0.52,0.45,2025-01-01,2025-03-01,2025-04-29,Approved,0,Community Forest Right,False,None,None
FRA-00777,Kerala,Palakkad,11.059254,76.504044,3.72,3.6,2025-01-07,2025-04-07,,Under Verification,605,Community Forest Right,False,None,None
FRA-00778,Chhattisgarh,Dantewada,21.399905,80.442276,4.61,4.95,2025-12-10,2026-01-29,2026-03-14,Approved,0,Community Forest Resource,False,None,None
FRA-00779,Madhya Pradesh,Mandla,24.492122,79.826089,40.69,43.34,2024-10-10,2024-12-07,2024-12-19,Approved,0,Community Forest Resource,True,Unusual Claim Area,High
FRA-00780,Chhattisgarh,Bastar,22.615789,82.328116,12.92,26.46,2023-09-05,2024-03-01,,Under Verification,1095,Community Forest Right,True,Land Record Mismatch,Medium
FRA-00781,Kerala,Kannur,12.470943,76.894285,6.17,6.22,2023-08-03,2023-09-06,2023-11-20,Approved,0,Individual Forest Right,False,None,None
FRA-00782,Odisha,Koraput,21.899239,86.193144,7.13,2.61,2022-10-09,2022-12-19,2023-01-30,Approved,0,Community Forest Right,True,Land Record Mismatch,Medium
FRA-00783,Kerala,Wayanad,11.534953,77.47121,2.64,3.0,2024-05-24,,,Pending,833,Individual Forest Right,False,None,None
FRA-00784,Madhya Pradesh,Mandla,24.435397,77.718532,1.26,1.44,2025-08-24,2025-10-28,2025-11-21,Approved,0,Community Forest Right,False,None,None
FRA-00785,Chhattisgarh,Bastar,18.594013,81.189934,4.89,5.03,2022-12-20,,,Pending,1354,Community Forest Resource,False,None,None
FRA-00786,Kerala,Wayanad,11.833192,77.162239,9.93,9.26,2025-08-30,2025-09-10,2025-09-30,Approved,0,Individual Forest Right,False,None,None
FRA-00787,Jharkhand,Gumla,22.057567,86.005437,8.8,8.2,2022-07-13,,,Rejected,0,Community Forest Right,False,None,None
FRA-00788,Kerala,Kannur,10.39509,75.313091,5.22,5.55,2025-01-05,2025-04-29,2025-05-06,Approved,0,Community Forest Resource,False,None,None
FRA-00789,Maharashtra,Nashik,18.255727,79.697152,42.65,43.92,2025-08-27,2025-12-11,2026-01-11,Approved,0,Individual Forest Right,True,Unusual Claim Area,Medium
FRA-00790,Madhya Pradesh,Dindori,24.001282,77.492181,2.37,2.16,2022-11-27,2023-01-08,2023-01-17,Approved,0,Individual Forest Right,False,None,None
FRA-00791,Maharashtra,Chandrapur,19.454239,77.355417,6.63,12.89,2022-01-01,2022-01-16,2022-03-28,Approved,0,Community Forest Resource,True,Land Record Mismatch,High
FRA-00792,Odisha,Keonjhar,20.924689,85.297657,10.47,10.98,2022-04-02,2022-05-06,2022-05-29,Approved,0,Individual Forest Right,False,None,None
FRA-00793,Chhattisgarh,Kanker,20.958916,80.832187,11.07,27.06,2025-01-31,2025-03-30,2025-06-26,Approved,0,Community Forest Resource,True,Land Record Mismatch,High
FRA-00794,Chhattisgarh,Kanker,18.35279,82.198025,14.93,15.81,2023-01-30,,,Rejected,0,Community Forest Resource,False,None,None
FRA-00795,Maharashtra,Nandurbar,19.678746,74.227931,14.89,14.59,2022-02-23,2022-05-07,,Under Verification,1654,Individual Forest Right,False,None,None
FRA-00796,Maharashtra,Gadchiroli,20.735917,76.25425,5.28,4.63,2023-11-15,,,Rejected,0,Individual Forest Right,False,None,None
FRA-00797,Odisha,Koraput,18.891787,87.407683,3.72,4.22,2022-09-10,2022-12-22,2023-02-04,Approved,0,Community Forest Right,False,None,None
FRA-00798,Madhya Pradesh,Mandla,23.751139,80.461593,8.5,8.77,2022-04-09,2022-07-24,2022-09-16,Approved,0,Community Forest Resource,False,None,None
FRA-00799,Kerala,Kannur,10.930586,75.318931,0.64,0.64,2022-11-15,,,Pending,1389,Community Forest Resource,False,None,None
FRA-00800,Kerala,Idukki,9.658594,76.813548,14.63,15.54,2023-05-26,,,Pending,1197,Community Forest Right,False,None,None
FRA-00801,Chhattisgarh,Dantewada,22.931231,82.395407,7.78,7.26,2024-05-26,,,Pending,831,Individual Forest Right,False,None,None
FRA-00802,Odisha,Koraput,22.289819,84.829317,5.03,4.41,2022-06-12,2022-07-22,2022-08-07,Approved,0,Individual Forest Right,False,None,None
FRA-00803,Madhya Pradesh,Mandla,23.385399,78.971402,13.18,5.85,2024-05-18,,,Pending,839,Community Forest Right,True,Land Record Mismatch,Medium
FRA-00804,Madhya Pradesh,Balaghat,24.277216,79.983669,72.52,82.63,2023-12-08,2024-03-21,2024-06-18,Approved,0,Community Forest Resource,True,Unusual Claim Area,Medium
FRA-00805,Maharashtra,Nandurbar,18.699257,75.936407,2.43,2.32,2022-04-15,2022-06-12,2022-07-08,Approved,0,Individual Forest Right,False,None,None
FRA-00806,Odisha,Mayurbhanj,21.826906,86.828497,12.94,12.13,2024-09-16,2024-10-23,2024-10-28,Approved,0,Community Forest Resource,False,None,None
FRA-00807,Jharkhand,Gumla,24.307641,87.251882,14.41,14.48,2026-03-02,2022-08-29,,Under Verification,186,Community Forest Resource,True,Delayed Processing,Medium
FRA-00808,Jharkhand,Simdega,22.745877,84.375074,5.57,5.94,2024-04-03,2024-04-25,2024-06-24,Approved,0,Individual Forest Right,False,None,None
FRA-00809,Maharashtra,Nandurbar,19.642876,80.304873,0.6,0.65,2023-05-28,2023-07-27,2023-09-17,Approved,0,Community Forest Right,False,None,None
FRA-00810,Chhattisgarh,Surguja,18.543475,81.315716,12.67,11.38,2023-12-26,,,Rejected,0,Community Forest Resource,False,None,None
FRA-00811,Chhattisgarh,Bastar,18.947835,80.120769,38.32,38.19,2022-03-06,2022-04-10,2022-06-15,Approved,0,Community Forest Right,True,Unusual Claim Area,High
FRA-00812,Kerala,Palakkad,10.474663,76.910982,13.29,13.3,2024-03-07,2024-03-30,2024-04-06,Approved,0,Community Forest Right,False,None,None
FRA-00813,Maharashtra,Gadchiroli,21.06954,74.892039,10.34,9.85,2025-05-07,,,Rejected,0,Community Forest Right,False,None,None
FRA-00814,Odisha,Sundargarh,18.83046,84.930284,9.46,18.25,2023-01-18,2023-05-06,2023-05-25,Approved,0,Community Forest Resource,True,Land Record Mismatch,Medium
FRA-00815,Madhya Pradesh,Balaghat,22.471672,80.419488,59.84,61.93,2022-09-04,2022-09-18,2022-10-28,Approved,0,Individual Forest Right,True,Unusual Claim Area,Medium
FRA-00816,Madhya Pradesh,Dindori,23.018243,78.225784,9.68,8.9,2023-11-20,2023-12-07,2024-02-15,Approved,0,Individual Forest Right,False,None,None
FRA-00817,Odisha,Koraput,19.576984,84.262502,5.59,5.45,2023-10-18,2023-12-13,,Under Verification,1052,Individual Forest Right,False,None,None
FRA-00818,Kerala,Idukki,10.135933,76.180145,13.67,12.03,2023-01-14,2023-03-27,2023-05-17,Approved,0,Individual Forest Right,False,None,None
FRA-00819,Madhya Pradesh,Bhopal,23.707404,80.081855,2.39,2.29,2024-01-11,,,Rejected,0,Community Forest Resource,False,None,None
FRA-00820,Odisha,Mayurbhanj,21.100993,83.94515,6.07,6.78,2022-09-25,,,Pending,1440,Individual Forest Right,False,None,None
FRA-00821,Maharashtra,Nandurbar,18.77171,76.566158,67.35,60.35,2025-06-21,2025-10-01,2025-12-05,Approved,0,Individual Forest Right,True,Unusual Claim Area,Medium
FRA-00822,Chhattisgarh,Dantewada,20.752478,80.757577,13.22,14.62,2025-02-21,2025-06-04,,Under Verification,560,Community Forest Resource,False,None,None
FRA-00823,Madhya Pradesh,Dindori,22.169271,78.676017,14.0,14.02,2022-02-14,2022-03-31,2022-04-21,Approved,0,Community Forest Resource,False,None,None
FRA-00824,Madhya Pradesh,Balaghat,23.851788,78.589975,10.43,11.59,2022-06-03,2022-09-17,2022-11-26,Approved,0,Community Forest Right,False,None,None
FRA-00825,Jharkhand,Simdega,22.517311,84.012602,8.79,9.03,2022-01-19,2022-06-09,,Under Verification,1689,Community Forest Resource,False,None,None
FRA-00826,Kerala,Idukki,10.410231,75.550841,10.77,10.94,2022-12-17,2023-03-05,2023-04-09,Approved,0,Community Forest Resource,False,None,None
FRA-00827,Chhattisgarh,Surguja,22.63624,80.811305,11.96,12.47,2023-05-25,2023-07-27,,Under Verification,1198,Individual Forest Right,False,None,None
